Date,iPhone_12_Sentiment,iPhone_12_Mini_Sentiment,iPhone_12_Pro_Sentiment,iPhone_12_Price,iPhone_12_Mini_Price,iPhone_12_Pro_Price,GDP
2024-03-03,100,91,98,220,199,320,28624.069
2024-03-04,92,71,92,220,199,320,28624.069
2024-03-05,92,77,82,220,199,320,28624.069
2024-03-06,86,75,84,220,197,319,28624.069
2024-03-07,85,75,78,220,195,319,28624.069
2024-03-08,84,73,89,220,195,319,28624.069
2024-03-09,99,86,98,220,193,317,28624.069
2024-03-10,95,92,94,220,193,315,28624.069
2024-03-11,81,75,78,220,193,315,28624.069
2024-03-12,86,74,82,220,193,315,28624.069
2024-03-13,82,72,83,220,193,315,28624.069
2024-03-14,83,76,79,220,193,315,28624.069
2024-03-15,84,77,91,220,195,310,28624.069
2024-03-16,95,86,89,220,195,310,28624.069
2024-03-17,95,93,92,220,195,310,28624.069
2024-03-18,84,72,81,220,192,305,28624.069
2024-03-19,86,82,83,220,192,305,28624.069
2024-03-20,87,83,84,220,192,305,28624.069
2024-03-21,85,72,81,220,193,300,28624.069
2024-03-22,84,71,79,220,193,300,28624.069
2024-03-23,93,85,94,220,193,300,28624.069
2024-03-24,99,94,94,220,193,300,28624.069
2024-03-25,86,82,86,220,193,300,28624.069
2024-03-26,88,82,82,220,193,300,28624.069
2024-03-27,87,73,82,220,193,300,28624.069
2024-03-28,88,78,82,220,193,300,28624.069
2024-03-29,95,83,89,220,193,300,28624.069
2024-03-30,92,83,92,220,193,300,28624.069
2024-03-31,90,85,94,220,190,300,28624.069
2024-04-01,89,79,81,220,190,300,29016.714
2024-04-02,84,79,84,220,190,300,29016.714
2024-04-03,84,80,80,220,190,300,29016.714
2024-04-04,83,80,90,220,190,300,29016.714
2024-04-05,85,78,84,220,190,300,29016.714
2024-04-06,91,82,84,219,191,300,29016.714
2024-04-07,94,85,94,219,191,300,29016.714
2024-04-08,81,75,82,219,195,300,29016.714
2024-04-09,81,76,80,219,195,300,29016.714
2024-04-10,85,71,74,219,195,300,29016.714
2024-04-11,82,74,77,219,195,300,29016.714
2024-04-12,88,78,88,219,195,300,29016.714
2024-04-13,90,80,86,220,198,300,29016.714
2024-04-14,94,86,91,221,198,300,29016.714
2024-04-15,84,75,81,221,198,300,29016.714
2024-04-16,82,71,80,221,198,300,29016.714
2024-04-17,82,71,84,221,198,300,29016.714
2024-04-18,79,71,83,221,198,300,29016.714
2024-04-19,80,69,83,220,195,300,29016.714
2024-04-20,91,83,87,220,195,300,29016.714
2024-04-21,91,87,100,220,195,300,29016.714
2024-04-22,83,75,82,220,195,300,29016.714
2024-04-23,79,76,76,220,195,300,29016.714
2024-04-24,82,77,83,220,195,300,29016.714
2024-04-25,88,71,80,220,195,300,29016.714
2024-04-26,85,72,79,218,190,300,29016.714
2024-04-27,88,84,88,218,190,305,29016.714
2024-04-28,95,85,91,218,190,305,29016.714
2024-04-29,82,71,80,218,190,305,29016.714
2024-04-30,78,69,77,218,190,305,29016.714
2024-05-01,89,76,87,218,190,305,29016.714
2024-05-02,83,72,76,215,190,300,29016.714
2024-05-03,83,71,79,215,190,300,29016.714
2024-05-04,92,80,88,215,190,300,29016.714
2024-05-05,91,82,87,215,189,300,29016.714
2024-05-06,85,74,88,215,189,300,29016.714
2024-05-07,81,71,77,215,189,300,29016.714
2024-05-08,81,72,78,215,189,300,29016.714
2024-05-09,80,70,76,212,188,300,29016.714
2024-05-10,85,77,82,212,188,300,29016.714
2024-05-11,92,85,86,212,188,300,29016.714
2024-05-12,93,91,88,212,188,300,29016.714
2024-05-13,85,73,82,205,180,288,29016.714
2024-05-14,82,73,79,204,180,285,29016.714
2024-05-15,75,70,78,204,180,285,29016.714
2024-05-16,79,73,82,204,180,285,29016.714
2024-05-17,83,74,81,204,180,285,29016.714
2024-05-18,91,89,90,204,180,285,29016.714
2024-05-19,89,82,89,203,180,289,29016.714
2024-05-20,87,77,85,203,180,289,29016.714
2024-05-21,82,73,81,203,180,289,29016.714
2024-05-22,78,71,81,203,180,289,29016.714
2024-05-23,83,81,82,203,180,288,29016.714
2024-05-24,80,73,80,203,180,288,29016.714
2024-05-25,90,77,99,203,180,288,29016.714
2024-05-26,89,85,88,200,180,285,29016.714
2024-05-27,85,76,84,200,180,285,29016.714
2024-05-28,79,72,82,200,180,285,29016.714
2024-05-29,80,77,82,200,180,285,29016.714
2024-05-30,78,72,79,200,180,285,29016.714
2024-05-31,81,75,80,200,180,285,29016.714
2024-06-01,93,81,86,200,180,285,29016.714
2024-06-02,94,93,84,200,180,285,29016.714
2024-06-03,83,78,79,200,180,285,29016.714
2024-06-04,78,67,78,200,180,285,29016.714
2024-06-05,83,80,83,201,180,289,29016.714
2024-06-06,84,80,86,201,180,289,29016.714
2024-06-07,86,77,83,201,180,289,29016.714
2024-06-08,91,90,88,204,180,290,29016.714
2024-06-09,93,89,89,204,180,290,29016.714
2024-06-10,81,80,81,204,180,290,29016.714
2024-06-11,89,84,85,204,180,290,29016.714
2024-06-12,89,79,87,204,180,290,29016.714
2024-06-13,88,83,83,204,180,290,29016.714
2024-06-14,84,84,81,204,180,290,29016.714
2024-06-15,92,90,87,204,180,290,29016.714
2024-06-16,97,89,88,204,180,290,29016.714
2024-06-17,87,86,81,204,180,290,29016.714
2024-06-18,87,83,90,204,180,290,29016.714
2024-06-19,82,80,75,204,180,290,29016.714
2024-06-20,85,78,76,204,180,290,29016.714
2024-06-21,81,84,81,204,180,290,29016.714
2024-06-22,90,84,89,205,180,290,29016.714
2024-06-23,93,87,88,205,179,290,29016.714
2024-06-24,84,78,79,205,179,290,29016.714
2024-06-25,81,78,77,205,179,290,29016.714
2024-06-26,83,80,82,205,179,290,29016.714
2024-06-27,84,74,79,206,179,289,29016.714
2024-06-28,87,86,77,206,179,289,29016.714
2024-06-29,91,88,85,206,179,289,29016.714
2024-06-30,93,98,89,206,179,289,29016.714
2024-07-01,82,84,87,208,178,290,29374.914
2024-07-02,86,81,85,208,178,290,29374.914
2024-07-03,88,88,80,208,178,290,29374.914
2024-07-04,89,86,88,208,178,290,29374.914
2024-07-05,83,83,82,209,175,290,29374.914
2024-07-06,91,90,86,209,175,290,29374.914
2024-07-07,96,90,94,209,175,290,29374.914
2024-07-08,89,86,85,209,175,290,29374.914
2024-07-09,86,81,82,209,175,290,29374.914
2024-07-10,87,81,83,209,175,290,29374.914
2024-07-11,85,80,82,208,178,288,29374.914
2024-07-12,90,78,82,208,178,288,29374.914
2024-07-13,97,96,94,208,178,288,29374.914
2024-07-14,95,96,86,208,178,288,29374.914
2024-07-15,87,84,86,208,178,288,29374.914
2024-07-16,90,89,86,208,178,288,29374.914
2024-07-17,96,88,90,208,178,288,29374.914
2024-07-18,90,85,85,206,175,290,29374.914
2024-07-19,89,86,89,206,175,290,29374.914
2024-07-20,97,100,85,206,175,290,29374.914
2024-07-21,93,98,97,206,175,290,29374.914
2024-07-22,91,85,83,206,175,290,29374.914
2024-07-23,93,88,83,206,177,295,29374.914
2024-07-24,87,87,83,206,177,295,29374.914
2024-07-25,91,88,86,206,177,295,29374.914
2024-07-26,85,87,88,205,179,299,29374.914
2024-07-27,93,95,84,205,179,300,29374.914
2024-07-28,95,95,90,205,179,300,29374.914
2024-07-29,89,79,83,205,179,300,29374.914
2024-07-30,85,84,85,205,179,300,29374.914
2024-07-31,85,86,85,205,179,300,29374.914
2024-08-01,84,80,74,203,178,300,29374.914
2024-08-02,87,86,84,203,178,300,29374.914
2024-08-03,91,95,89,203,178,300,29374.914
2024-08-04,92,92,91,200,179,300,29374.914
2024-08-05,83,82,81,200,179,300,29374.914
2024-08-06,84,83,81,200,179,300,29374.914
2024-08-07,83,76,86,200,179,300,29374.914
2024-08-08,83,80,81,200,179,300,29374.914
2024-08-09,83,79,82,200,179,300,29374.914
2024-08-10,92,92,88,200,177,300,29374.914
2024-08-11,94,96,96,204,175,300,29374.914
2024-08-12,88,83,84,204,175,300,29374.914
2024-08-13,84,87,80,204,175,300,29374.914
2024-08-14,85,80,93,204,175,300,29374.914
2024-08-15,88,81,83,204,175,300,29374.914
2024-08-16,86,83,90,204,175,300,29374.914
2024-08-17,91,89,86,210,179,300,29374.914
2024-08-18,92,94,89,210,179,300,29374.914
2024-08-19,89,82,85,210,179,300,29374.914
2024-08-20,90,87,86,210,179,300,29374.914
2024-08-21,84,82,80,210,179,300,29374.914
2024-08-22,79,79,84,210,179,300,29374.914
2024-08-23,83,81,82,210,179,300,29374.914
2024-08-24,91,91,84,210,179,300,29374.914
2024-08-25,95,92,94,210,179,300,29374.914
2024-08-26,83,83,79,210,179,300,29374.914
2024-08-27,85,74,77,210,179,300,29374.914
2024-08-28,81,75,84,210,179,300,29374.914
2024-08-29,80,75,77,210,179,300,29374.914
